Date,Price,CVol,Change,Change-Percentage,Return-Percentage,Total-Return,Cumulative-Return-Percentage,Open,High,Low,Cumulative-Change-Percentage
11/12/24,247.77,270849,0.00,0.00,,278.16,896.83,0.00,248.21,237.16,787.91
10/12/24,247.77,36914810,1.02,0.41,0.41,278.16,896.83,246.89,248.21,245.34,787.91
09/12/24,246.75,44649230,3.91,1.61,1.61,277.02,892.72,241.83,247.24,241.75,784.25
06/12/24,242.84,36870620,-0.20,-0.08,-0.08,272.63,876.99,242.91,244.63,242.08,770.24
05/12/24,243.04,40033880,0.03,0.01,0.01,272.85,877.80,243.99,244.54,242.13,770.96
04/12/24,243.01,44383940,0.36,0.15,0.15,272.82,877.68,242.87,244.11,241.25,770.85
03/12/24,242.65,38861020,3.06,1.28,1.28,272.42,876.23,239.81,242.76,238.90,769.56
02/12/24,239.59,48137100,2.26,0.95,0.95,268.98,863.92,237.27,240.79,237.16,758.59
29/11/24,237.33,28481380,2.40,1.02,1.02,266.44,854.83,234.81,237.81,233.97,750.49
27/11/24,234.93,33498440,-0.13,-0.06,-0.06,263.75,845.17,234.47,235.69,233.81,741.89
26/11/24,235.06,45986190,2.19,0.94,0.94,263.90,845.69,233.33,235.57,233.33,742.36
25/11/24,232.87,90152830,3.00,1.31,1.31,261.44,836.88,231.46,233.25,229.74,734.51
22/11/24,229.87,38168246,1.35,0.59,0.59,258.07,824.81,228.06,230.72,228.06,723.76
21/11/24,228.52,42108330,-0.48,-0.21,-0.21,256.55,819.38,228.88,230.16,225.71,718.92
20/11/24,229.00,35169566,0.72,0.32,0.32,257.09,821.31,228.06,229.93,225.89,720.64
19/11/24,228.28,36211770,0.26,0.11,0.11,256.28,818.42,226.98,230.16,226.66,718.06
18/11/24,228.02,44686020,3.02,1.34,1.34,255.99,817.37,225.25,229.74,225.17,717.13
15/11/24,225.00,47923700,-3.22,-1.41,-1.41,252.60,805.22,226.40,226.92,224.27,706.31
14/11/24,228.22,44923940,3.10,1.38,1.38,256.22,818.17,225.02,228.87,225.00,717.85
13/11/24,225.12,48566220,0.89,0.40,0.40,252.74,805.70,224.01,226.65,222.76,706.74
12/11/24,224.23,40398300,,,,251.74,802.12,224.55,225.59,223.36,703.55
