Date,Sales per Share,EBIT (Operating Income) per Share,EPS (recurring),EPS (diluted),EPS (basic),Dividends per Share,Book Value per Share,Tangible Book Value per Share,Operating Cash flow per Share,Free Cash Flow per Share,Shares,Diluted Shares Outstanding,Basic Shares Outstanding,Total Shares Outstanding,Ratios (x),Price / Sales,Price / Earnings,Price / Book Value,Price / Tangible Book Value,Price / Cash Flow,Price / Free Cash Flow,Dividend Yield (%),Dividend Payout Ratio (%),Enterprise Value / EBIT,Enterprise Value / EBITDA,Enterprise Value / Sales,EBIT / Interest Expense (Int. Coverage)
12/2013,2.29,0.69,0.52,0.52,0.52,0.11,5.19,4.94,0.90,0.82,,"25,240.7","25,090.0","24,988.5",,2.90,13.89,3.85,4.05,9.54,11.20,2.11,21.03,9.84,8.55,2.74,208.77
03/2014,1.86,0.55,0.42,0.42,0.42,0.11,4.98,4.73,0.55,0.49,,"24,626.8","24,493.2","24,128.9",,2.68,12.83,3.85,4.05,8.75,10.10,2.27,26.25,8.86,7.69,2.49,159.66
06/2014,1.55,0.43,0.32,0.32,0.32,0.12,5.05,4.79,0.42,0.33,,"24,206.8","24,050.5","23,956.7",,3.12,14.86,4.56,4.80,9.87,11.44,1.93,36.72,10.76,9.34,3.08,103.11
09/2014,1.77,0.47,0.35,0.36,0.36,0.12,4.75,4.38,0.55,0.39,,"23,888.3","23,735.4","23,464.6",,3.28,15.66,5.30,5.75,10.08,12.00,1.80,33.10,11.42,9.92,3.28,97.72
12/2014,3.15,1.00,0.77,0.77,0.77,0.12,5.29,4.91,1.43,1.30,,"23,527.2","23,372.3","23,305.7",,3.36,15.36,5.39,5.81,9.47,11.18,1.62,15.36,11.04,9.66,3.24,179.27
03/2015,2.46,0.73,0.58,0.58,0.59,0.12,5.60,5.22,0.82,0.72,,"23,339.4","23,175.2","23,049.1",,3.40,15.23,5.51,5.91,9.42,11.15,1.53,20.17,11.71,10.23,3.44,104.98
06/2015,2.11,0.55,0.46,0.46,0.47,0.13,5.51,5.12,0.65,0.56,,"23,092.4","22,919.5","22,821.6",,3.29,14.64,5.75,6.19,9.03,10.52,1.52,28.11,11.39,9.85,3.30,63.31
09/2015,2.24,0.59,0.49,0.49,0.49,0.13,5.35,4.94,0.59,0.43,,"22,730.1","22,587.7","22,315.0",,2.82,12.47,5.36,5.80,8.02,9.31,1.73,26.53,9.58,8.19,2.76,55.92
12/2015,3.35,1.03,0.80,0.82,0.83,0.13,5.78,5.37,1.23,1.07,,"22,376.5","22,235.7","22,177.9",,2.60,11.47,4.67,5.03,8.06,9.54,1.88,15.85,9.20,7.82,2.62,83.29
03/2016,2.27,0.61,0.47,0.48,0.48,0.13,5.95,5.54,0.52,0.42,,"22,163.5","22,057.5","21,913.8",,2.60,11.75,4.44,4.77,8.67,10.47,1.97,27.37,9.95,8.39,2.76,41.88
06/2016,1.93,0.46,0.36,0.36,0.36,0.14,5.87,5.46,0.49,0.36,,"21,891.1","21,772.2","21,572.7",,2.34,10.91,3.98,4.28,8.09,10.06,2.28,40.14,9.01,7.60,2.47,24.65
09/2016,2.17,0.52,0.42,0.42,0.42,0.14,6.01,5.60,0.75,0.56,,"21,573.3","21,467.6","21,344.7",,2.84,13.63,4.69,5.03,9.23,11.45,1.93,34.13,10.81,9.14,2.91,24.74
12/2016,3.67,1.09,0.84,0.84,0.85,0.14,6.30,5.90,1.27,1.11,,"21,312.0","21,194.6","21,021.7",,2.84,13.87,4.60,4.90,9.43,11.65,1.93,16.96,10.98,9.29,2.92,44.33
03/2017,2.49,0.62,0.52,0.53,0.53,0.14,6.44,6.05,0.60,0.45,,"21,046.8","20,903.2","20,823.3",,3.44,16.80,5.58,5.94,11.39,14.20,1.59,27.14,13.53,11.46,3.55,24.75
06/2017,2.16,0.50,0.42,0.42,0.42,0.16,6.40,6.01,0.43,0.32,,"20,934.0","20,780.4","20,679.1",,3.38,16.37,5.62,5.99,11.67,14.48,1.62,37.72,13.37,11.37,3.48,17.52
09/2017,2.54,0.63,0.52,0.52,0.52,0.16,6.54,6.15,0.73,0.54,,"20,734.3","20,597.7","20,504.8",,3.50,16.75,5.89,6.27,12.56,15.62,1.56,30.43,13.85,11.85,3.64,19.66
12/2017,4.29,1.28,0.97,0.97,0.98,0.16,6.90,6.50,1.37,1.24,,"20,631.1","20,451.5","20,326.6",,3.66,17.39,6.13,6.51,13.46,16.50,1.45,16.20,14.33,12.38,3.79,36.01
03/2018,3.02,0.79,0.68,0.68,0.69,0.16,6.42,6.42,0.75,0.54,,"20,274.0","20,099.5","19,773.1",,3.44,16.19,6.54,6.54,12.61,15.66,1.50,23.08,13.07,11.30,3.49,20.20
06/2018,2.71,0.66,0.58,0.59,0.59,0.18,5.93,5.93,0.74,0.57,,"19,706.4","19,528.7","19,371.7",,3.57,16.78,7.80,7.80,12.49,15.48,1.42,31.20,13.72,11.88,3.68,15.34
09/2018,3.23,0.81,0.73,0.73,0.74,0.18,5.63,5.63,1.01,0.85,,"19,390.2","19,206.4","19,019.9",,4.12,19.02,10.02,10.02,14.13,17.07,1.20,25.09,15.79,13.69,4.22,18.01
12/2018,4.42,1.21,1.05,1.05,1.05,0.18,6.23,6.23,1.40,1.22,,"19,093.0","18,943.3","18,919.2",,2.85,12.84,6.27,6.27,9.83,12.03,1.81,17.45,11.45,9.78,2.96,25.88
03/2019,3.08,0.70,0.61,0.61,0.62,0.18,5.74,5.74,0.59,0.47,,"18,802.6","18,696.3","18,429.1",,3.46,15.97,8.27,8.27,12.43,14.92,1.54,29.68,13.98,11.82,3.51,13.11
06/2019,2.92,0.62,0.55,0.55,0.55,0.19,5.32,5.32,0.63,0.52,,"18,405.5","18,282.5","18,125.6",,3.52,16.87,9.30,9.30,13.20,15.64,1.50,35.28,14.36,12.06,3.52,13.27
09/2019,3.54,0.86,0.76,0.76,0.76,0.19,5.09,5.09,1.10,0.95,,"18,081.5","17,963.2","17,772.9",,3.80,18.46,10.74,10.74,14.25,16.79,1.37,25.43,15.85,13.45,3.86,19.11
12/2019,5.15,1.42,1.24,1.25,1.26,0.19,5.10,5.10,1.71,1.59,,"17,818.4","17,660.2","17,539.8",,4.83,22.89,14.19,14.19,17.63,20.18,1.05,15.43,19.80,17.02,4.85,32.23
03/2020,3.31,0.73,0.63,0.64,0.65,0.19,4.53,4.53,0.76,0.65,,"17,618.8","17,440.4","17,295.9",,4.08,19.42,13.66,13.66,14.48,16.38,1.24,30.15,17.24,14.85,4.19,17.04
06/2020,3.41,0.72,0.64,0.65,0.65,0.21,4.22,4.22,0.93,0.84,,"17,419.2","17,250.3","17,135.8",,5.63,26.88,20.96,20.96,19.25,21.48,0.89,31.73,24.07,20.83,5.82,17.88
09/2020,3.75,0.85,0.73,0.73,0.74,0.21,3.85,3.85,1.19,1.09,,"17,256.5","17,057.6","16,976.8",,7.07,34.37,29.17,29.17,24.02,26.41,0.71,27.91,30.57,26.15,7.29,23.15
12/2020,6.52,1.98,1.68,1.68,1.70,0.21,3.94,3.94,2.27,2.06,,"17,113.7","16,935.1","16,823.3",,7.68,35.68,33.53,33.53,25.40,28.15,0.61,12.20,30.67,26.73,7.71,53.11
03/2021,5.31,1.67,1.39,1.40,1.41,0.21,4.15,4.15,1.42,1.28,,"16,929.2","16,753.5","16,686.3",,6.30,27.20,29.24,29.24,20.60,22.68,0.68,14.69,23.42,20.87,6.42,42.12
06/2021,4.86,1.45,1.29,1.30,1.31,0.22,3.88,3.88,1.26,1.13,,"16,781.7","16,629.4","16,556.9",,6.43,26.07,34.29,34.29,21.39,23.57,0.63,16.98,23.03,20.77,6.70,36.52
09/2021,5.01,1.43,1.24,1.24,1.25,0.22,3.84,3.84,1.21,1.02,,"16,635.1","16,487.1","16,426.8",,6.67,26.20,38.25,38.25,23.49,26.29,0.58,17.81,21.77,19.74,6.55,35.40
12/2021,7.50,2.51,2.10,2.10,2.11,0.22,4.40,4.40,2.84,2.67,,"16,519.3","16,391.7","16,340.9",,7.69,29.27,40.05,40.05,25.94,28.59,0.49,10.49,25.14,22.93,7.82,59.78
03/2022,5.93,1.83,1.52,1.52,1.54,0.22,4.16,4.16,1.72,1.56,,"16,403.3","16,278.8","16,207.6",,7.42,28.40,42.02,42.02,24.62,27.09,0.50,14.43,24.25,22.16,7.51,43.38
06/2022,5.10,1.42,1.20,1.20,1.20,0.23,3.61,3.61,1.41,1.28,,"16,262.2","16,162.9","16,095.4",,5.94,23.41,39.24,39.24,19.49,21.41,0.63,19.24,19.20,17.54,5.86,32.09
09/2022,5.59,1.54,1.29,1.29,1.29,0.23,3.18,3.18,1.50,1.29,,"16,118.5","16,030.4","15,943.4",,6.15,24.65,47.33,47.33,19.85,21.76,0.60,17.89,19.15,17.52,5.80,30.10
12/2022,7.34,2.26,1.88,1.88,1.89,0.23,3.58,3.58,2.13,1.89,,"15,955.7","15,892.7","15,842.4",,5.35,22.08,36.29,36.29,18.99,21.26,0.70,12.23,18.59,16.91,5.47,35.91
03/2023,5.98,1.79,1.52,1.52,1.53,0.23,3.95,3.95,1.80,1.62,,"15,847.1","15,787.2","15,723.4",,6.79,28.02,41.71,41.71,23.85,26.80,0.56,15.09,23.57,21.38,6.87,30.45
06/2023,5.19,1.46,1.26,1.26,1.27,0.24,3.85,3.85,1.67,1.54,,"15,775.0","15,697.6","15,647.9",,7.97,32.60,50.36,50.36,27.06,30.30,0.48,19.04,27.46,24.86,8.03,23.04
09/2023,5.71,1.72,1.46,1.46,1.47,0.24,4.00,4.00,1.38,1.24,,"15,672.4","15,599.4","15,550.1",,7.00,27.93,42.84,42.84,24.27,26.94,0.55,16.39,23.84,21.66,7.11,26.92
12/2023,7.68,2.59,2.18,2.18,2.19,0.24,4.79,4.79,2.56,2.41,,"15,576.6","15,509.8","15,460.2",,7.78,29.96,40.17,40.17,25.76,28.06,0.49,11.02,25.38,23.15,7.81,
03/2024,5.87,1.80,1.53,1.53,1.53,0.24,4.84,4.84,1.47,1.34,,"15,464.7","15,405.9","15,337.7",,6.95,26.67,35.45,35.45,23.99,26.02,0.56,15.70,22.56,20.58,6.99,
